label	text
False	Izmir mv @avhamzadag neden izmirde multecilere yatili okul yapmak istiyorsunuz? Amaciniz nedir? Bu multeciler geldikleri gibi gidecekler! Oraya o okul yapilmayacak! https://t.co/h02lKPvd0a
Other	Açız, mutfak masrafları, Kira, okul giderleri, faturalar derken elimiz de hiç para kalmazken, insan gibi yaşayamazsın, saraya yapilan masraflar, yazlık saraylar, 3. Ülkelere yapılan yardımlar, vakıflara peşkeş çekilen yerler, mültecilere harcanan paralar #BöyleBirLüksümüzYok
False	@yyunikonn İzmire yığılma olur diye yorumladim.zira mülteci okulları için izmir pilot bölge seçildi 4 tane okul yapılacak yada dönüşecek geçen gördüm bir okulun duvarında kocaman pankart
True	"❌ MEB'in İzmir’de mültecilere özel dört okul yapacağı iddiası yanlış.

Okullar Milli Eğitim Bakanlığı tarafından Avrupa Birliği finansal desteği ile yapılıyor. Tamamlandıklarında ise inşa edilen bölgede ikamet eden tüm çocukların kullanımına açılacaklar.
https://t.co/n83E5o1HR2"
Other	"@wolfintoaction Çok gerekliyse ülkeye göçmen de alınır mülteci de alınır. Ama ülke olarak bir anda bu kadar insanı kaldıracak alt yapımız yok ki. Hastane, okul , barınma , iş vs vs bir sürü konu var. 
Ülkede ciddi boyutta emlak krizi var mesela. Ev fiyatları bir çok bölgede 1 yılda x2 oldu."
True	"İYİ Parti'li Türkkan'dan yeni algı çalışması: 'Mültecilere okul yapılacak'

https://t.co/A28pVbRScK"
False	nerde izmir büyükşehir belediye başkanı denen kişi? geçen gün bi kaç açıklaması vardı şöyle bakarız böyle bakarız diye, mültecilere şehrin merkezinde okul yapılması demek çok korkunç böyle bi şey kabul edilemez. https://t.co/2buXUgkV6l
True	İYİ Partili Lütfü Türkkan dan mültecilere okul yalanıyla kışkırtma https://t.co/oTgszxPv7H
False	bu 'izmir'e okul' meselesi de net siyasi hamle bu arada; tunç soyer'e sığınmacı yaklaşımı üzerinden böyle saldırıldı diye sığınmacı yoğunluğunun olduğu diğer yerleri hiçe sayıp izmir'e okul açıyorlar, akp ciddi ciddi izmir'i mülteci nefretiyle 'fethedeceğini' düşünüyor 🤢
True	"@ruhumasena2 @Aslidiyorki74 @KAFKAS_60 @ekf_27 @az_er__ @Nurum___ @duygulu_23 @meric546154 @ozler_melek @Vatan_Fedaisi__ @Abhaztorunu @masum1genc @Boztepe_Husna @PASAKIZI_4107 @ozgr_Ozel_1 @ayhkp34 @Asan_5535 @Dava_0618 @RabiA_270 @Eftelya3435 @vildan1420 @nermincglrclk 'Mültecilere okul' yalanıyla kışkırtma peşinde olan #LütfüTürkkan, meğer buharlaştırdığı 36 milyon doları perdelemeye çalışıyormuş

Türkkan'ın çiftlikleri için kamu bankalarından çektiği 36 milyon dolarlık krediyi buharlaştırdığı ortaya çıktı."
