label	text
Other	"The U.N. refugee agency said Wednesday more than 4 million refugees have now fled Ukraine since Russia launched its war in the largest refugee crisis in Europe since World War II.

https://t.co/rejJXuSW55"
Other	"Zelensky: As a dictator, Putin wants to annex Ukraine and destroy our independence. His eyes are gone; it does not recognize civil-military-children-women.
#Ukrania #Russia #Putin #USA #China #Turkey #Belarus #Poland https://t.co/tO8QpFQeN8"
False	"RT @rina__kor: “Zelensky fled to Poland and is 'hiding in US embassy,’ Ukrainian lawmaker claims”

""#Zelensky left #Ukraine. Deputies of th…"
False	"The Nazis are on the run Westwards
MARIUPOL had been liberated by Russia
Ukrainian President Zelensky who fled Ukraine 2 weeks ago for Poland and it's green screen is crying to CNN"
Other	"🇪🇺🇺🇦 European Commission President Ursula van der Leyen will travel to Kyiv this week to meet the Ukrainian President Volodymyr Zelensky.

The pair will visit Kyiv ahead of an event in Warsaw, Poland on Saturday
https://t.co/g5WqB6BEv2 https://t.co/Aag8pO3TIu"
Other	@CBSNews The phone calls from family in Poland taking in Ukraine refugees are stating the Ukrainian government are doing this to their own people and blaming Russia as Russia is trying to liberate them. Even restored water to Crimea that Zelensky wouldn’t do.. 🤨 what’s the real story?
False	"Green screen 😂
Amateur hour theatrics from ‘Brave leader’ Zelensky who in reality has already fled to Poland. What a joke #UkraineWar #RussianUkrainianWar #Zelenksy https://t.co/CiMcRr2cdR"
Other	"More than 3.6 million people have fled Ukraine into neighboring countries since Russia's invasion, the U.N. estimates.

More than 2.1 million have entered Poland, who continues calling for international support to accommodate the influx.
#Ukraine
@Newsweek https://t.co/iy38HJFCOb"
False	@POTUS Zelensky likely fled to Poland, will you meet him there?
False	"@GarlandNixon There are rumors that Zelensky already fled to Poland. And from there he talk with media with a background setup. 
Why isn't he on the war ground taking selfies anymore?"
False	"@nikicaga I don't see the anti-semitism. 

Also. Zelensky fled to Poland so I have no respect for his ability to govern."
False	RT @crankyallAnimal: Zelensky Fled to Poland and is 'Hiding in US Embassy', Ukrainian Lawmaker Sayhttps://sputniknews.com/20220304/zelensky…
False	"ゼレンスキーはポーランドに逃亡し、「米国大使館に隠れている」とウクライナの議員は主張している

2022年3月4日 https://t.co/94IMYghwns https://t.co/qEEUbef1k5 https://t.co/K9Jr4DImVZ"
Other	"#HRC ""liberals"" are very Trump-like
They snuggle up to Poland a country hanging on to their EU membership by a thread.
Embrace Zelensky who has vast amounts of money hidden off-shore. 
And cheer for neo-Nazis in Ukraine.

Because the game-show guy beat HRC &; made nice with Putin?"
Other	"@Skot69 1) Why should Ukrainians be the sacrificial lambs for the world, if what you say is true?
2) Russia has made it clear that this won't stop w/UA. Baltics and Poland are also in the cross-hairs. 
3) Zelensky didn't invade Russia. Russia invaded Ukraine. In 2014, and again in 2022."
Other	Russians ARE terrible humans.  🫣 #russia #RussianWarCrimes #russian #fuckrussia #orcarmy #oprussia #OpKremlin #russiamustpay #SlavaUkraini #Zelensky #hero #wtf #ukraine #PutinWarCrimes #WarCriminals #putin #banrussia #rebuildukraine #uk #poland #baltic #gasprices #oilprice https://t.co/D5muNX8vyH
Other	"Ukraine Zelensky, armed Ukrainians weapons,missiles, machine-guns funnelled via Poland &; west Ukraine  by U.S., Canada, UK, EU, to confront Russia, instead US, Joe Biden, resolve Russia security 
should Russian troops not battered  Ukrainian fully armed?
Patrick Kolawole Boboye."
False	@JonnyFive12 @MakarijeCudotv2 @spriter99880 Like Zelensky fled to Poland
False	@AndyDavidCIA @WBrettWilson Hopefully he would start with arresting all WEF members in Government cabinets for pushing  foreign agendas. Then pull out of Ukraine because Zelensky is doing this to his own people by what Ukrainians escaping to Poland are saying &; blaming Russia. Screw Zelensky.
Other	@ScottMorrisonMP @karenandrewsmp @ashbarty @AustralianOpen @DjokerNole @AlexHawkeMP @PeterDutton_MP @usopen @Olympics @ChampionsLeague @BILD @OlafScholz @DrTedros @FIFAcom @FIFAWorldCup @Pasferre @francefootball @Cristiano @rolandgarros @Wimbledon @nytimes @cnnbrk @derspiegel @welt @EuropaLeague @BBCSport @TomBrady @RafaelNadal @DaniilMedwed @mosseri @instagram @NobelPrize #UKRAINE PRES.REFUSED #PEACE INITIATED BY #SCHOLZ FEW DAYS BEFORE #RUSSIA ATTACKED=U RESPONSIBLE f.MANY DEATH+WAR TOO+#EINSTEIN:WORLD BACK #STONEAGE IF WW3+#POLAND SILLY WANT USA #NUCLEAR+GER MOBBERS MULTIPLE MORE SADISTIC TO ME=NO #WAR END YOUR OWN #SINS https://t.co/HYSfo3Nsfg.
Other	"Ukraine needs ""serious players"" when it comes to security guarantees, says Zelensky 

“He said Ukraine is currently discussing security guarantees with countries including France, US, Germany, Turkey, Britain and Poland”

https://t.co/xZSjw07J6B"
False	@lavrov_kremlin @Jo521969 Your brother already fled to Poland to meet Zelensky https://t.co/DHg4KMu8VR
Other	@jmbenson1491 Just had conversation with my Ukrainian friend who just fled to Poland. Zelensky is “no saint”
False	RT @inosabii: Zelensky Fled to Poland and is 'Hiding in US Embassy', Ukrainian Lawmaker Says https://t.co/CKMJSISAWs
Other	"More than 2.3 million have arrived in Poland, but many have traveled onward to other countries or back into Ukraine.
https://t.co/EVE4WIIYPq"
Other	"@benjaminhaddad Now maybe you can rethink the train trip and the boasting about the ""come back of the CEE"" etc. The trip was of course important for Zelensky and the citizens of Ukraine, but all this avalanche of ""only Poland is defending Ukraine"" really started after this trip."
False	@leftiblog @RealScottRitter Ya, Zelensky's not gonna hang around in Ukraine long enough to be captured. He's already spending most of his time in Poland.
False	@antifantti Russia linked a land bridge from its territory to Sevastopol, has encircled 10000s of Ukrainians, is sieging several cities, including their enemy's capital, and Zelensky likely fled to Poland.
False	@KenRoth #Zelensky fled to #Poland last night... heralding an outright victory for #Putin . And .....there are no #Western journalists in #Ukraine
False	@michaelbd Kiev has no strategic importance whatsoever. It's purely symbolic. Zelensky has fled Ukraine and green screening from Poland. So much for bravery.
Other	Poland, Hungary and now Ukraine via Zelensky are saying they’ve had quite enough of Germany’s destructive, totalitarian elitist policies that helped create this current disaster.
Other	@therrienv @stupidmaggats @417craig @Yeshua17Faith @JenCages @umfpt @Vickie627 @jdd2169 @ConcernedinPV @ahrehead @Milo443767962 @asjah8 @JeffreySHarper1 @skeeduu @_TeeKeeMon @mathmomma24 @KellyKr77228030 @waywardmegan15 @Krispi_Largo @furcopalypse @Emma34770971 @Wanderinglord @ProjectS1973 @_Kel_Varnsen_ @radicalcentrst @Ihonestlydont19 @PaulStetson13 @henriziolkowski @Sinner_Lilith @BC_Missy @TaiDecker @cms36 @KC79156846 @MrChingonE @TheSportsTr0ll @LaVieEnLumiere0 @Mindmagestic @medwoman1 @Aimhighffw @MistressRedWasp @Architectprod @CosmicIndiffer1 @USMC_Razorback @PrimedRosalee @benniedoorsnee @StirredCrazy @queenicarius1 @Supersi48617376 @KarenNo37030475 @NatForTrump2024 No decision for Biden to make. Zelensky said he needs them, Poland offered to give them, Bidens got no decision to make. And Poland should say screw Joe and get those Migs to Ukraine.
Other	@dpa_live @dpa @onetz_de @_FriedrichMerz @n_roettgen @HBraun @EschleThomas @CDU @CSU @Markus_Soeder @derspiegel @welt @tagesschau @ZDF @SZ @Tagesspiegel @BR24 @maybritillner @AnneWillTalk @heutejournal @cnnbrk @faznet @washingtonpost @nytimes @OlafScholz @ABaerbock @c_lindner @NancyFaeser @MarcoBuschmann @ScottMorrisonMP @karenandrewsmp @ashbarty @AustralianOpen @DjokerNole @BILD @EP_President @DavidSassoli @AlexHawkeMP @PeterDutton_MP @usopen @Olympics @FIFAcom @FIFAWorldCup @Pasferre @francefootball @Cristiano @TomBrady @mosseri @instagram @POTUS #UKRAINE PRES.REFUSED #PEACE INITIATED BY #SCHOLZ FEW DAYS BEFORE #RUSSIA ATTACKED=U RESPONSIBLE f.MANY DEATH+WAR TOO+#EINSTEIN:WORLD BACK #STONEAGE IF WW3+#POLAND SILLY WANT USA #NUCLEAR+GER MOBBERS MULTIPLE MORE SADISTIC TO ME=NO #WAR END YOUR OWN #SINS https://t.co/HYSfo3Nsfg.
Other	"@Podolyak_M Americans stand with the people of #Ukraine! 🇺🇦

#Putin #Russia #Genocide #WarCrimes #Biden #Zelensky #Poland"
Other	"#Migs#Ukraine ""At least 2 EU countries, seem open to providing some of the weapons that Zelensky wants. Slovakia, which owns S-300 missile systems, has said it is willing to send them to Ukraine, while Poland has offered to send MIG fighter planes"" [WITH CONDITIONS} @NYT"
False	RT @ma18246161: @aisen_kannon https://t.co/8NXFfAz0WC’
True	@undisc_country total BS. Ukraine wanted to live better &; safer. On top of  that NATO is defense, not attack block. Surrender is not an option, in that case Ukrainians would get slaughtered &; land will be taken over - that was primarily goal for invasion. Zelensky is in Ukraine, not in Poland
Other	@PowerOfAwesome @Numbersmatter1 @SaraPor24592618 @Kevin_Maguire @GMB Biden lied in his speech in Poland last week, he said there’s no neo nazi battalion in Ukraine because Zelensky is Jewish. Even though Zelensky did not deny there is a neo nazi Battalion integrated into the UNG. That’s a fact and no amount of misinformation can change it.
False	@MaxBlumenthal I'm a Ukrainian from Donbass, I'm not leaving here until I want to, let Zelensky deport his ass from Ukraine, oh, he already fled to Poland or something like that :D
Other	"@ImperatorTruth Putin's already got most of what he (and whichever banksters are backing him) wanted. The Black Sea. Ceasefire probably coming soon, Zelensky will have to concede the lost territory but gets to keep Kiev.

Refugees who fled to Poland are already returning to Ukraine https://t.co/mqaXIQupjU"
False	Zelensky fled to Poland and is 'hiding in US embassy,’ Ukrainian lawmaker claims - Pars Today https://t.co/gGsaOgtTYP
True	@KyivIndependent Doesn't seem to be any pro Russian trolls out today.. saying zelensky fled to Poland and is using a green screen 🤷🏻‍♂️🤔😁
Other	RT @Holysugar2343: @MaxBlumenthal I'm a Ukrainian from Donbass, I'm not leaving here until I want to, let Zelensky deport his ass from Ukra…
False	Fake resistant Zelensky who has already fled since the beginning of the Russian military operation is recording his speeches and interviews from hidden studio located somewhere in Poland where he calls his people to resist and to fight til the complete destruction of the country https://t.co/DxSm16S58v
False	"@WytChocTweets @KevorkAlmassian the fact is Russia already on ukraine land NOW!!!

NATO/USA only watching😂
meanwhile Zelensky already fled ukraine and now on Poland.

I believe you dont educate enough because you dont know the meaning embarassing..😂"
False	RT @writerware: @Reuters Zelensky fled to Poland. His last destination is exile in Israel 🇮🇱.
False	RT @semper_vincit: Zelensky fled the country ( Poland ? ) and allowed all his brethren to leave to safety, then banned all men aged 18-60 f…
Other	RT @writerware: @GloryToTheCPSU Zelensky is puppet. President Putin can not be meeting with a puppet. Joe Biden can meet Zelensky in Poland…
Other	"RT @writerware: Russia 🇷🇺 is going out of their way to avoid civilian deaths among Ukrainians.

They are paying high price for that. Time t…"
False	@Maishilla @daveweiss68 @nypost FSB &; CIA saying Khazarian mafia Ukrainian puppet president Volodymyr Zelensky has long since fled to Poland. He has also been promised a rich retirement in Florida. Attached photos his assets in Costa Rica at Dresner Bank ($1.3 billion) &; his $34 million house in Miami, Florida.
False	"@Quicktake ""People"" who dumped corrupt and underdeveloped Ukraine just like Zelensky who is hiding in Poland.

https://t.co/eIgMP8vnGc"
Other	"@guardian $20,000 for 100,000,000.
Does that make 12 zeros?
Yes.
There are 40 m Ukrainian people. 
President Zelensky should be saying,HEY!!!What about that cash to rebuild Ukraine invest in eco friendly and give people suffering a hard time some cash to go out with in Poland?"
Other	@NPR The United States and Poland must get those mig fighter jets to #Ukraine! Zelensky has been urgently requesting them!
False	@tuennes50 @Youblacksoul Zelensky is NOT in Kyiv, and he hasn't been for weeks. He fled to Italy, and then to Poland where he is now. The MSM is all fake lies, you have to wake up. There's literally Neo Nazis, with guns, enforcing laws, and control over citizens in Ukraine. How do you think that's going?
False	https://t.co/N4NnGxY9Qv
False	@timkmak Take care!Soon Kiev will be taking down by Russia!Artyom Bonov (Zalesov)already fled to Poland to meet Zelensky https://t.co/j3jo8t3hf7
False	"no.  13
Zelensky fled to Poland and is 'hiding in US embassy,’ Ukrainian lawmaker claims.

https://t.co/NLpaU4I9fc https://t.co/4dtyCuW63D"
